DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2002-05-06,2.0,0.13,,,339557,1.57,1.56,1.57,1.57
2002-05-07,2.0,0.13,,,188385,1.58,1.57,1.57,1.57
2002-05-08,2.0,0.13,,,1205411,1.8,1.59,1.75,1.75
2002-05-09,2.0,0.13,,,852922,1.85,1.8,1.85,1.85
2002-05-10,2.0,0.13,,,4247275,1.9,1.8,1.9,1.9
2002-05-13,2.0,0.13,,,2653866,1.95,1.91,1.94,1.94
2002-05-14,2.0,0.13,,,2518500,1.94,1.87,1.87,1.87
2002-05-15,2.0,0.13,,,2211012,1.87,1.85,1.86,1.86
2002-05-16,2.0,0.13,,,2742801,1.86,1.8,1.8,1.8
2002-05-17,2.0,0.13,,,890204,1.82,1.8,1.8,1.8
2002-05-20,2.0,0.13,,,15569,1.75,1.75,1.75,1.75
2002-05-21,2.0,0.13,,,143902,1.75,1.71,1.75,1.75
2002-05-22,2.0,0.13,,,55692,1.75,1.75,1.75,1.75
2002-05-24,2.0,0.13,,,120511,1.73,1.73,1.73,1.73
2002-05-27,2.0,0.13,,,417356,1.73,1.72,1.72,1.72
2002-05-28,2.0,0.13,,,1000,1.74,1.74,1.74,1.74
2002-05-29,2.0,0.13,,,205508,1.74,1.72,1.74,1.74
2002-05-30,2.0,0.13,,,798135,1.74,1.7,1.7,1.7
2002-05-31,2.0,0.13,,,135010,1.7,1.7,1.7,1.7
2002-06-03,2.0,0.13,,,178200,1.69,1.6,1.6,1.6
2002-06-04,2.0,0.13,,,667525,1.59,1.53,1.56,1.56
2002-06-05,2.0,0.13,,,504547,1.6,1.56,1.6,1.6
2002-06-06,2.0,0.13,,,173560,1.6,1.59,1.6,1.6
2002-06-07,2.0,0.13,,,107226,1.6,1.6,1.6,1.6
2002-06-10,2.0,0.13,,,293434,1.6,1.57,1.6,1.6
2002-06-11,2.0,0.13,,,14262,1.6,1.6,1.6,1.6
2002-06-12,2.0,0.13,,,12100,1.6,1.59,1.59,1.59
2002-06-13,2.0,0.13,,,2021894,1.59,1.5,1.5,1.5
2002-06-14,2.0,0.13,,,743347,1.51,1.5,1.5,1.5
2002-06-17,2.0,0.13,,,663137,1.51,1.5,1.51,1.51
2002-06-18,2.0,0.13,,,1000000,1.53,1.5,1.5,1.5
2002-06-19,2.0,0.13,,,1508550,1.6,1.55,1.6,1.6
2002-06-20,2.0,0.13,,,455617,1.55,1.5,1.55,1.55
2002-06-21,2.0,0.13,,,2416222,1.55,1.5,1.51,1.51
2002-06-24,2.0,0.13,,,347969,1.54,1.5,1.5,1.5
2002-06-25,2.0,0.13,,,223520,1.5,1.5,1.5,1.5
2002-06-26,2.0,0.13,,,3181100,1.5,1.5,1.5,1.5
2002-06-27,2.0,0.13,,,286656,1.5,1.5,1.5,1.5
2002-06-28,2.0,0.13,,,822339,1.5,1.5,1.5,1.5
2002-07-01,2.0,0.13,,,35993,1.46,1.45,1.45,1.45
2002-07-02,2.0,0.13,,,1660597,1.47,1.45,1.45,1.45
2002-07-03,2.0,0.13,,,600880,1.46,1.43,1.43,1.43
2002-07-04,2.0,0.13,,,238209,1.4,1.4,1.4,1.4
2002-07-05,2.0,0.13,,,63704,1.42,1.41,1.41,1.41
2002-07-08,2.0,0.13,,,84033,1.45,1.42,1.45,1.45
2002-07-09,2.0,0.13,,,384439,1.48,1.43,1.48,1.48
2002-07-10,2.0,0.13,,,127884,1.48,1.45,1.48,1.48
2002-07-11,2.0,0.13,,,371823,1.5,1.48,1.5,1.5
2002-07-12,2.0,0.13,,,1410,1.48,1.48,1.48,1.48
2002-07-15,2.0,0.13,,,381984,1.5,1.44,1.44,1.44
2002-07-16,2.0,0.13,,,130262,1.45,1.45,1.45,1.45
2002-07-17,2.0,0.13,,,495766,1.48,1.47,1.48,1.48
2002-07-18,2.0,0.13,,,427197,1.48,1.48,1.48,1.48
2002-07-19,2.0,0.13,,,3033,1.48,1.48,1.48,1.48
2002-07-22,2.0,0.13,,,597964,1.46,1.45,1.45,1.45
2002-07-23,2.0,0.13,,,248760,1.45,1.43,1.43,1.43
2002-07-24,2.0,0.13,,,2333190,1.45,1.4,1.4,1.4
2002-07-25,2.0,0.13,,,118000,1.41,1.4,1.4,1.4
2002-07-26,2.0,0.13,,,2225865,1.41,1.41,1.41,1.41
2002-07-29,2.0,0.13,,,16354,1.43,1.42,1.43,1.43
2002-07-30,2.0,0.13,,,262718,1.43,1.43,1.43,1.43
2002-07-31,2.0,0.13,,,309935,1.43,1.4,1.4,1.4
2002-08-02,2.0,0.13,,,441369,1.41,1.4,1.4,1.4
2002-08-05,2.0,0.13,,,181036,1.4,1.35,1.35,1.35
2002-08-07,2.0,0.13,,,3405137,1.36,1.35,1.35,1.35
2002-08-08,2.0,0.13,,,511472,1.4,1.39,1.4,1.4
2002-08-09,2.0,0.13,,,146642,1.4,1.4,1.4,1.4
2002-08-12,2.0,0.13,,,3610403,1.41,1.4,1.4,1.4
2002-08-13,2.0,0.13,,,452065,1.43,1.41,1.43,1.43
2002-08-14,2.0,0.13,,,25271,1.42,1.4,1.4,1.4
2002-08-15,2.0,0.13,,,577900,1.4,1.4,1.4,1.4
2002-08-16,2.0,0.13,,,797000,1.4,1.4,1.4,1.4
2002-08-19,2.0,0.13,,,638832,1.4,1.4,1.4,1.4
2002-08-20,2.0,0.13,,,28846,1.4,1.4,1.4,1.4
2002-08-21,2.0,0.13,,,813237,1.42,1.4,1.4,1.4
2002-08-22,2.0,0.13,,,179000,1.43,1.4,1.43,1.43
2002-08-23,2.0,0.13,,,541141,1.43,1.4,1.4,1.4
2002-08-26,2.0,0.13,,,647450,1.4,1.4,1.4,1.4
2002-08-27,2.0,0.13,,,853903,1.4,1.39,1.39,1.39
2002-08-28,2.0,0.13,,,476445,1.4,1.37,1.38,1.38
2002-08-29,2.0,0.13,,,55617,1.39,1.39,1.39,1.39
2002-08-30,2.0,0.13,,,254062,1.39,1.39,1.39,1.39
2002-09-02,2.0,0.13,,,534645,1.4,1.4,1.4,1.4
2002-09-03,2.0,0.13,,,4389180,1.4,1.39,1.39,1.39
2002-09-04,2.0,0.13,,,352000,1.4,1.39,1.4,1.4
2002-09-05,2.0,0.13,,,128010,1.38,1.38,1.38,1.38
2002-09-06,2.0,0.13,,,3816,1.38,1.38,1.38,1.38
2002-09-09,2.0,0.13,,,1386304,1.38,1.37,1.37,1.37
2002-09-10,2.0,0.13,,,108000,1.37,1.37,1.37,1.37
2002-09-11,2.0,0.13,,,640612,1.38,1.35,1.35,1.35
2002-09-12,2.0,0.13,,,2176546,1.35,1.35,1.35,1.35
2002-09-13,2.0,0.13,,,361769,1.35,1.35,1.35,1.35
2002-09-16,2.0,0.13,,,44829,1.36,1.35,1.35,1.35
2002-09-17,2.0,0.13,,,2742611,1.35,1.34,1.34,1.34
2002-09-18,2.0,0.13,,,80420,1.34,1.33,1.33,1.33
2002-09-19,2.0,0.13,,,40018,1.33,1.33,1.33,1.33
2002-09-20,2.0,0.13,,,1520621,1.33,1.3,1.3,1.3
2002-09-23,2.0,0.13,,,84271,1.29,1.27,1.27,1.27
2002-09-24,2.0,0.13,,,1793397,1.27,1.16,1.2,1.2
2002-09-25,2.0,0.13,,,3954805,1.16,1.14,1.14,1.14
2002-09-26,2.0,0.13,,,8665908,1.12,1.07,1.07,1.07
2002-09-27,2.0,0.13,,,2982580,1.1,1.05,1.06,1.06
2002-09-30,2.0,0.13,,,826425,1.15,1.1,1.15,1.15
2002-10-01,2.0,0.13,,,2154188,1.15,1.15,1.15,1.15
2002-10-02,2.0,0.13,,,2783211,1.15,1.12,1.12,1.12
2002-10-03,2.0,0.13,,,262937,1.14,1.13,1.14,1.14
2002-10-04,2.0,0.13,,,13231394,1.15,1.15,1.15,1.15
2002-10-07,2.0,0.13,,,208046,1.15,1.14,1.15,1.15
2002-10-08,2.0,0.13,,,215500,1.15,1.15,1.15,1.15
2002-10-09,2.0,0.13,,,436500,1.15,1.15,1.15,1.15
2002-10-10,2.0,0.13,,,5420999,1.15,1.15,1.15,1.15
2002-10-11,2.0,0.13,,,4859100,1.15,1.15,1.15,1.15
2002-10-14,2.0,0.13,,,1106600,1.15,1.15,1.15,1.15
2002-10-15,2.0,0.13,,,2166792,1.15,1.14,1.06,1.06
2002-10-16,2.0,0.13,,,328543,1.15,1.15,1.15,1.15
2002-10-17,2.0,0.13,,,676090,1.15,1.15,1.15,1.15
2002-10-18,2.0,0.13,,,721828,1.15,1.15,1.15,1.15
2002-10-22,2.0,0.13,,,1376276,1.15,1.15,1.15,1.15
2002-10-23,2.0,0.13,,,87432,1.15,1.15,1.15,1.15
2002-10-24,2.0,0.13,,,161891,1.15,1.15,1.15,1.15
2002-10-25,2.0,0.13,,,102500,1.15,1.15,1.15,1.15
2002-10-28,2.0,0.13,,,151666,1.15,1.15,1.15,1.15
2002-10-29,2.0,0.13,,,261974,1.16,1.15,1.15,1.15
2002-10-30,2.0,0.13,,,316215,1.16,1.15,1.15,1.15
2002-10-31,2.0,0.13,,,41948,1.16,1.15,1.16,1.16
2002-11-01,2.0,0.13,,,317988,1.2,1.17,1.2,1.2
2002-11-04,2.0,0.13,,,776719,1.2,1.19,1.2,1.2
2002-11-05,2.0,0.13,,,2082262,1.2,1.19,1.2,1.2
2002-11-06,2.0,0.13,,,3201753,1.2,1.19,1.2,1.2
2002-11-07,2.0,0.13,,,718111,1.2,1.19,1.2,1.2
2002-11-08,2.0,0.13,,,5866021,1.2,1.2,1.2,1.2
2002-11-11,2.0,0.13,,,62209,1.22,1.22,1.22,1.22
2002-11-12,2.0,0.13,,,2000795,1.25,1.24,1.25,1.25
2002-11-13,2.0,0.13,,,11193504,1.25,1.23,1.25,1.25
2002-11-14,2.0,0.13,,,14638804,1.25,1.24,1.25,1.25
2002-11-15,2.0,0.13,,,1066968,1.33,1.26,1.27,1.27
2002-11-18,2.0,0.13,,,142111,1.35,1.29,1.3,1.3
2002-11-19,2.0,0.13,,,153635,1.35,1.31,1.31,1.31
2002-11-20,2.0,0.13,,,36930,1.32,1.32,1.32,1.32
2002-11-21,2.0,0.13,,,548797,1.32,1.32,1.32,1.32
2002-11-22,2.0,0.13,,,76743,1.34,1.33,1.34,1.34
2002-11-25,2.0,0.13,,,106000,1.34,1.33,1.33,1.33
2002-11-26,2.0,0.13,,,518769,1.33,1.32,1.32,1.32
2002-11-27,2.0,0.13,,,1227468,1.32,1.3,1.3,1.3
2002-11-28,2.0,0.13,,,85000,1.3,1.3,1.3,1.3
2002-11-29,2.0,0.13,,,3530294,1.3,1.29,1.29,1.29
2002-12-02,2.0,0.13,,,840166,1.3,1.26,1.3,1.3
2002-12-03,2.0,0.13,,,1857024,1.3,1.26,1.3,1.3
