DATE,CURRENT YEAR HIGH,CURRENT YEAR LOW,PREVIOUS YEAR DIVIDENDS,CURRENT YEAR DIVIDENDS,VOLUME,TODAY'S HIGH,TODAY'S LOW,LAST TRADED PRICE,CLOSING PRICE
2013-10-17,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-18,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-22,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-23,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-24,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-25,0.09,0.02,,,0,0.0,0.0,0.03,0.03
2013-10-28,0.08,0.02,,,1480598,0.05,0.05,0.05,0.05
2013-10-29,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-10-30,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-10-31,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-01,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-04,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-05,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-06,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-07,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-08,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-11,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-12,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-13,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-14,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-15,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-18,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-19,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-20,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-11-21,0.08,0.02,,,10000,0.08,0.08,0.08,0.08
2013-11-22,0.08,0.02,,,0,0.0,0.0,0.08,0.08
2013-11-25,0.08,0.02,,,0,0.0,0.0,0.08,0.08
2013-11-26,0.08,0.02,,,0,0.0,0.0,0.08,0.08
2013-11-27,0.08,0.02,,,0,0.0,0.0,0.08,0.08
2013-11-28,0.08,0.02,,,0,0.0,0.0,0.08,0.08
2013-11-29,0.08,0.02,,,20300,0.04,0.04,0.04,0.04
2013-12-02,0.08,0.02,,,11437,0.03,0.03,0.03,0.03
2013-12-03,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-04,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-05,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-06,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-09,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-10,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-11,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-12,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-13,0.08,0.02,,,0,0.0,0.0,0.03,0.03
2013-12-16,0.08,0.02,,,2000,0.04,0.04,0.04,0.04
2013-12-17,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-18,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-19,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-20,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-23,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-24,0.08,0.02,,,0,0.0,0.0,0.04,0.04
2013-12-27,0.08,0.02,,,10000,0.05,0.05,0.05,0.05
2013-12-30,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2013-12-31,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-02,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-03,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-06,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-07,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-08,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-09,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-10,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-13,0.08,0.02,,,1000,0.05,0.05,0.05,0.05
2014-01-14,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-15,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-16,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-17,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-20,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-21,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-22,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-23,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-24,0.08,0.02,,,57370,0.05,0.05,0.05,0.05
2014-01-27,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-28,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-29,0.08,0.02,,,0,0.0,0.0,0.05,0.05
2014-01-30,0.08,0.02,,,600,0.06,0.06,0.06,0.06
2014-01-31,0.08,0.02,,,0,0.0,0.0,0.06,0.06
2014-02-03,0.08,0.02,,,491000,0.08,0.08,0.08,0.08
2014-02-04,0.1,0.02,,,122197,0.1,0.1,0.1,0.1
2014-02-05,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-06,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-07,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-10,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-11,0.1,0.02,,,557600,0.1,0.1,0.1,0.1
2014-02-12,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-13,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-14,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-17,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-18,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-19,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-20,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-21,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-24,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-25,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-02-26,0.1,0.02,,,4000,0.06,0.06,0.06,0.06
2014-02-27,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-02-28,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-03,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-04,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-06,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-07,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-10,0.1,0.02,,,0,0.0,0.0,0.06,0.06
2014-03-11,0.1,0.02,,,1235982,0.08,0.08,0.08,0.08
2014-03-12,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-03-13,0.1,0.02,,,50000,0.1,0.1,0.1,0.1
2014-03-14,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-03-17,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-03-18,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-03-19,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-03-20,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-03-21,0.1,0.02,,,603200,0.08,0.07,0.07,0.07
2014-03-24,0.1,0.02,,,0,0.0,0.0,0.07,0.07
2014-03-25,0.1,0.02,,,0,0.0,0.0,0.07,0.07
2014-03-26,0.1,0.02,,,0,0.0,0.0,0.07,0.07
2014-03-27,0.1,0.02,,,0,0.0,0.0,0.07,0.07
2014-03-28,0.1,0.02,,,4000,0.07,0.07,0.07,0.07
2014-03-31,0.1,0.02,,,0,0.0,0.0,0.07,0.07
2014-04-01,0.1,0.02,,,12000,0.08,0.08,0.08,0.08
2014-04-02,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-03,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-04,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-07,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-08,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-09,0.1,0.02,,,0,0.0,0.0,0.08,0.08
2014-04-10,0.1,0.02,,,3507600,0.1,0.1,0.1,0.1
2014-04-11,0.1,0.02,,,96000,0.1,0.1,0.1,0.1
2014-04-14,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-15,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-16,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-17,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-22,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-23,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-24,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-25,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-28,0.1,0.02,,,186100,0.1,0.1,0.1,0.1
2014-04-29,0.1,0.02,,,0,0.0,0.0,0.1,0.1
2014-04-30,0.11,0.02,,,50000,0.11,0.11,0.11,0.11
